child_id,age,gender,home_environment,parent_education,parent_income,mental_health,physical_abuse_record,emotional_abuse_record,attendance_rate,behavioral_issues,father_alcohol_use,mother_alcohol_use,father_smoking_use,mother_smoking_use,abuse_status
1,3,Male,3,4,3,4,1,1,65,1,1,0,0,1,1
2,3,Male,1,3,2,4,1,1,94,0,0,1,1,1,0
3,6,Male,4,5,2,4,1,1,51,1,1,0,1,0,0
4,5,Male,2,4,2,4,1,0,52,0,0,0,0,0,0
5,7,Female,4,3,3,3,0,1,51,1,0,1,1,1,0
6,7,Male,3,5,1,3,1,0,60,0,0,1,0,1,0
7,4,Female,4,1,3,5,0,1,78,0,0,0,0,0,1
8,5,Female,1,1,2,2,1,0,97,0,0,0,1,0,1
9,5,Male,5,1,2,2,0,1,92,1,0,0,1,1,1
10,4,Male,5,5,2,4,0,1,72,0,1,0,1,0,0
11,7,Female,2,2,1,5,0,0,71,1,0,1,1,1,1
12,7,Female,1,5,2,1,0,0,80,1,0,0,0,1,0
13,3,Female,5,1,4,5,1,0,78,1,0,1,1,0,0
14,4,Female,4,3,4,1,0,0,50,0,1,0,0,1,0
15,6,Male,2,5,5,2,0,0,67,0,1,1,1,1,0
16,5,Male,3,2,4,3,1,0,71,0,1,0,0,0,0
17,7,Male,4,3,2,5,0,0,88,1,1,1,1,0,1
18,5,Male,5,1,5,1,0,0,97,1,1,1,0,0,1
19,7,Male,2,1,5,1,1,0,82,0,0,0,1,0,0
20,6,Female,3,4,3,5,1,1,98,0,0,0,1,0,1
21,4,Female,5,1,3,2,0,1,69,0,0,1,1,0,1
22,6,Female,5,2,3,4,1,0,68,0,1,1,0,1,1
23,3,Male,1,1,3,3,0,1,88,0,0,1,0,0,1
24,7,Female,3,3,4,5,1,1,55,1,0,0,1,1,0
25,5,Female,1,3,4,5,0,0,58,1,0,0,1,1,1
26,4,Female,5,4,1,1,1,1,72,0,0,0,1,1,1
27,3,Female,1,1,5,5,0,1,60,0,0,0,0,1,1
28,5,Male,2,3,2,4,1,0,96,1,1,1,1,0,0
29,6,Male,5,1,4,5,1,1,55,1,0,1,0,0,0
30,5,Female,3,1,1,5,0,1,66,1,1,0,0,0,1
31,3,Female,4,1,4,4,1,0,53,1,1,1,1,0,0
32,4,Male,3,5,5,5,0,0,78,1,0,0,1,1,0
33,3,Male,3,5,5,2,0,0,72,1,1,0,1,1,0
34,6,Male,5,4,3,4,0,1,93,1,1,0,0,1,0
35,3,Female,5,4,2,4,0,0,82,0,1,1,0,0,0
36,4,Female,5,3,3,2,0,1,89,0,0,1,0,0,0
37,6,Male,1,2,2,2,0,1,80,1,0,1,1,0,0
38,4,Female,2,1,3,2,1,1,86,0,1,0,0,0,1
39,6,Male,4,1,4,2,0,0,100,1,1,1,1,1,1
40,5,Female,3,2,3,2,1,1,63,0,1,0,1,0,1
41,3,Male,1,4,2,2,0,1,83,1,0,1,0,0,1
42,6,Female,1,1,4,5,0,0,78,0,1,1,0,0,0
43,7,Male,5,3,3,1,0,0,57,0,1,1,0,0,0
44,4,Male,2,2,4,2,0,0,58,1,0,0,1,0,1
45,5,Female,3,3,4,1,0,1,80,0,1,0,0,1,1
46,4,Female,5,4,3,4,1,0,64,0,1,1,1,0,1
47,3,Male,1,1,5,4,0,1,94,0,1,0,0,0,0
48,5,Female,1,2,3,5,1,0,88,0,1,1,1,1,1
49,5,Male,3,4,3,5,0,1,96,0,1,1,0,1,1
50,4,Female,5,1,1,2,1,0,88,1,1,0,0,1,1
