연도,시도,아동학대유형_중복학대,아동학대유형_신체학대,아동학대유형_정서학대,아동학대유형_성학대,아동학대유형_방임(유기)
2015,서울 Seoul,529,259,218,35,138
2015,부산 Busan,222,109,83,24,87
2015,대구 Daegu,145,63,73,7,59
2015,인천 Incheon,259,79,54,4,115
2015,광주 Gwangju,106,83,29,8,27
2015,대전 Daejeon,146,52,65,3,64
2015,울산 Ulsan,152,52,66,5,65
2015,경기 Gyeonggi,1394,576,491,107,405
2015,강원 Gangwon,230,107,119,11,85
2015,충북 Chungbuk,345,49,107,34,109
2015,충남 Chungnam,287,65,93,19,151
2015,전북 Jeonbuk,383,66,184,47,209
2015,전남 Jeonnam,303,113,97,70,174
2015,경북 Gyeongbuk,332,71,165,32,208
2015,경남 Gyeongnam,391,114,132,17,88
2015,제주 Jeju,123,26,70,5,26
2016,서울 Seoul,1075,348,413,32,400
2016,부산 Busan,388,180,187,27,98
2016,대구 Daegu,388,83,135,8,122
2016,인천 Incheon,503,250,215,31,191
2016,광주 Gwangju,149,81,37,4,75
2016,대전 Daejeon,139,98,50,9,63
2016,울산 Ulsan,406,31,174,21,53
2016,경기 Gyeonggi,2141,772,733,110,597
2016,강원 Gangwon,468,138,211,20,144
2016,충북 Chungbuk,399,101,168,27,253
2016,충남 Chungnam,423,107,119,31,144
2016,전북 Jeonbuk,747,112,324,34,229
2016,전남 Jeonnam,503,139,289,90,208
2016,경북 Gyeongbuk,480,125,271,17,147
2016,경남 Gyeongnam,636,102,220,27,154
2016,제주 Jeju,135,48,42,5,46
2017,서울 Seoul,1001,454,448,54,349
2017,부산 Busan,565,350,346,77,121
2017,대구 Daegu,497,138,289,34,169
2017,인천 Incheon,498,245,209,17,259
2017,광주 Gwangju,419,138,150,14,75
2017,대전 Daejeon,284,57,89,9,85
2017,울산 Ulsan,467,50,121,20,81
2017,경기 Gyeonggi,2505,879,1058,168,467
2017,강원 Gangwon,450,176,299,28,116
2017,충북 Chungbuk,396,111,196,39,146
2017,충남 Chungnam,555,156,167,22,161
2017,전북 Jeonbuk,824,118,302,59,271
2017,전남 Jeonnam,664,108,326,92,227
2017,경북 Gyeongbuk,845,158,500,22,101
2017,경남 Gyeongnam,692,124,162,27,127
2017,제주 Jeju,213,23,66,10,32
2018,서울 Seoul,899,488,578,42,203
2018,부산 Busan,706,264,385,108,149
2018,대구 Daegu,552,126,378,30,82
2018,인천 Incheon,545,222,257,13,130
2018,광주 Gwangju,397,156,205,17,187
2018,대전 Daejeon,363,24,141,9,106
2018,울산 Ulsan,443,53,153,15,70
2018,경기 Gyeonggi,2913,1043,1303,244,573
2018,강원 Gangwon,622,190,258,61,88
2018,충북 Chungbuk,363,118,158,43,164
2018,충남 Chungnam,533,155,440,36,157
2018,전북 Jeonbuk,885,127,336,30,202
2018,전남 Jeonnam,771,137,418,163,234
2018,경북 Gyeongbuk,902,186,544,44,146
2018,경남 Gyeongnam,660,103,228,39,88
2018,제주 Jeju,211,14,70,15,25
2018,세종 sejong,27,30,10,1,0
2019,서울 Seoul,869,500,573,69,167
2019,부산 Busan,746,264,505,86,151
2019,대구 Daegu,714,92,513,34,126
2019,인천 Incheon,1224,287,537,12,222
2019,광주 Gwangju,410,152,225,17,72
2019,대전 Daejeon,459,134,200,20,82
2019,울산 Ulsan,440,60,203,7,90
2019,세종 sejong,140,58,72,10,15
2019,경기 Gyeonggi,3713,1245,1881,256,790
2019,강원 Gangwon,689,336,370,50,78
2019,충북 Chungbuk,558,151,247,39,176
2019,충남 Chungnam,735,178,343,51,141
2019,전북 Jeonbuk,920,160,453,24,163
2019,전남 Jeonnam,896,204,613,123,178
2019,경북 Gyeongbuk,871,217,429,30,235
2019,경남 Gyeongnam,761,113,239,35,152
2019,제주 Jeju,331,28,219,20,47
2020,서울 Seoul,1203,535,762,43,237
2020,부산 Busan,692,165,572,7,122
2020,대구 Daegu,705,67,390,27,82
2020,인천 Incheon,1216,286,718,21,186
2020,광주 Gwangju,314,120,154,38,72
2020,대전 Daejeon,704,146,395,19,99
2020,울산 Ulsan,645,53,349,36,151
2020,세종 sejong,191,60,83,0,3
2020,경기 Gyeonggi,3683,997,2250,159,580
2020,강원 Gangwon,483,252,287,39,92
2020,충북 Chungbuk,417,137,288,21,162
